ciiu,descripcion_ciiu
3011,Construcción de buques y estructuras flotantes (fabricación de estructuras metálicas flotantes)
2513,"Fabricación de generadores de vapor, excepto calderas de agua caliente para calefacción central "
2512,"Fabricación de tanques, depósitos y recipientes de metal (fabricación de tanques metálicos de calibre grueso)"
3099,Fabricación de otros tipos de equipo de transporte n.c.p. (fabricación de carritos de alambre para supermercado)
2592,Tratamiento y revestimiento de metales; maquinado (maquinado de piezas para maquinaria y equipo en general)
2812,Fabricación de equipo de propulsión de fluidos (fabricación de válvulas hidráulicas y neumáticas)
2813,"Fabricación de otras bombas, compresores, grifos y válvulas (fabricación de grifos y válvulas industriales)"
2814,"Fabricación de cojinetes, engranajes, trenes de engranajes y piezas de transmisión (fabricación de baleros y rodamientos)"
2520,Fabricación de armas y municiones 
2818,Fabricación de herramientas de mano motorizadas (fabricación de equipo con motor para la jardinería)
2825,"Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco (fabricación de secadores de productos agrícolas)"
2826,"Fabricación de maquinaria para la elaboración de productos textiles, prendas de vestir y cueros (fabricación de maquinaria para despepite de algodón)"
2824,"Fabricación de maquinaria para la explotación de minas y canteras y para obras de construcción (fabricación de tractores de oruga, máquinas para movimiento de tierra, bulldozers y mezcladoras de concreto)"
3020,Fabricación de locomotoras y material rodante (fabricación de carritos para la minería)
2822,Fabricación de maquinaria para la conformación de metales y de máquinas herramienta (fabricación de maquinaria y equipo para la industria de la madera)
2829,Fabricación de otros tipos de maquinaria de uso especial (fabricación de maquinaria y equipo para la industrias del hule y del plástico)
2815,"Fabricación de hornos, hogares y quemadores (fabricación de hornos para la industria del cemento)"
3250,Fabricación de instrumentos y materiales médicos y odontológicos (fabricación de equipo de destilación para laboratorio)
2670,Fabricación de instrumentos ópticos y equipo fotográfico (fabricación de aparatos fotográficos)
3030,"Fabricación de aeronaves, naves espaciales y maquinaria conexa (fabricación de simuladores de vuelo)"
3290,Otras industrias manufactureras n.c.p. (fabricación de barredoras mecánicas industriales)
2811,"Fabricación de motores y turbinas, excepto motores para aeronaves, vehículos automotores y motocicletas (fabricación de motores de combustión interna y de turbinas)"
2910,Fabricación de vehículos automotores (fabricación de motores diésel)
3091,Fabricación de motocicletas (fabricación de motores para motocicletas)
2710,"Fabricación de motores, generadores y transformadores eléctricos y aparatos de distribución y control de la energía eléctrica (fabricación de transformadores para soldadura de arco)"
2651,"Fabricación de equipo de medición, prueba, navegación y control (fabricación de básculas y balanzas de laboratorio y de uso industrial)"
2620,Fabricación de ordenadores (computadoras) y equipo periférico 
2630,Fabricación de equipo de comunicaciones (fabricación de equipo telefónico)
2640,Fabricación de aparatos electrónicos de consumo (fabricación de equipo de audio y de video)
2610,Fabricación de componentes y tableros electrónicos 
2652,Fabricación de relojes (excepto fabricación de parquímetros)
2660,Fabricación de equipo de irradiación y equipo electrónico de uso médico y terapéutico 
1820,Reproducción de grabaciones 
2680,Fabricación de soportes magnéticos y ópticos 
2740,Fabricación de equipo eléctrico de iluminación (fabricación de focos)
2750,Fabricación de aparatos de uso doméstico (fabricación de enseres electrodomésticos menores)
2731,Fabricación de cables de fibra óptica 
2733,Fabricación de dispositivos de cableado 
2920,"Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques (fabricación de remolques y semirremolques para usos diversos, campers y casetas)"
2930,"Fabricación de partes, piezas y accesorios para vehículos automotores (fabricación de quinta rueda)"
3012,Construcción de embarcaciones de recreo y de deporte 
3315,"Reparación de equipo de transporte, excepto vehículos automotores (reparación y mantenimiento de embarcaciones hechos por el establecimiento fabricante)"
3092,Fabricación de bicicletas y vehículos de transporte para personas con discapacidad física (fabricación de bicicletas y triciclos)
3040,Fabricación de vehículos militares de combate 
3212,Fabricación de bisutería y artículos conexos (joyería de metales y piedras no preciosos y de otros materiales)
3230,Fabricación de artículos de deporte 
3240,Fabricación de juegos y juguetes (fabricación de mesas de billar)
3220,Fabricación de instrumentos de música 
4630,"Venta al por mayor de alimentos, bebidas y tabaco (comercio al por mayor de abarrotes)"
4620,Venta al por mayor de materias primas agropecuarias y animales vivos (comercio al por mayor de tabaco sin procesar)
4641,"Venta al por mayor de productos textiles, prendas de vestir y calzado (comercio al por mayor de fibras, hilos y telas)"
4649,Venta al por mayor de otros enseres domésticos (comercio al por mayor de productos farmacéuticos)
4652,"Venta al por mayor de equipo, partes y piezas electrónicos y de telecomunicaciones (comercio al por mayor de cintas y videos sin grabar)"
4669,"Venta al por mayor de desperdicios, desechos y chatarra y otros productos n.c.p. (comercio al por mayor de fertilizantes y plaguicidas agrícolas)"
4663,"Venta al por mayor de materiales de construcción, artículos de ferretería y equipo y materiales de fontanería y calefacción (comercio al por mayor de cemento, tabique y grava)"
4662,Venta al por mayor de metales y minerales metalíferos 
4659,Venta al por mayor de otros tipos de maquinaria y equipo (comercio al por mayor de equipo y material eléctrico)
4661,"Venta al por mayor de combustibles sólidos, líquidos y gaseosos y productos conexos (comercio al por mayor de combustibles de uso industrial)"
4653,"Venta al por mayor de maquinaria, equipo y materiales agropecuarios "
4651,"Venta al por mayor de ordenadores (computadoras), equipo periférico y programas de informática "
4510,Venta de vehículos automotores (comercio al por mayor de camiones)
4530,"Venta de partes, piezas y accesorios para vehículos automotores (comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones)"
4610,"Venta al por mayor a cambio de una retribución o por contrato (intermediación de comercio al por mayor de productos agropecuarios, excepto a través de internet y de otros medios electrónicos)"
4711,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco (comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas)"
4721,Venta al por menor de alimentos en comercios especializados (comercio al por menor de carnes rojas en comercios especializados)
4781,"Venta al por menor de alimentos, bebidas y tabaco en puestos de venta y mercados (comercio al por menor de carnes rojas en puestos de venta y mercados)"
4722,Venta al por menor de bebidas en comercios especializados (comercio al por menor de vinos y licores en comercios especializados)
4723,Venta al por menor de productos de tabaco en comercios especializados 
4719,Otras actividades de venta al por menor en comercios no especializados (comercio al por menor en tiendas departamentales)
4751,Venta al por menor de productos textiles en comercios especializados (comercio al por menor de telas en comercios especializados)
4782,"Venta al por menor de productos textiles, prendas de vestir y calzado en puestos de venta y mercados (comercio al por menor de telas en puestos de venta y mercados)"
4771,"Venta al por menor de prendas de vestir, calzado y artículos de cuero en comercios especializados (comercio al por menor de blancos en comercios especializados)"
4772,"Venta al por menor de productos farmacéuticos y médicos, cosméticos y artículos de tocador en comercios especializados (farmacias sin minisúper)"
4773,Venta al por menor de otros productos nuevos en comercios especializados (comercio al por menor de lentes en comercios especializados)
4789,Venta al por menor de otros productos en puestos de venta y mercados (comercio al por menor de lentes en puestos de venta y mercados)
4762,Venta al por menor de grabaciones de música y de video en comercios especializados 
4764,Venta al por menor de juegos y juguetes en comercios especializados (comercio al por menor de juguetes en comercios especializados)
4763,Venta al por menor de equipo de deporte en comercios especializados 
4759,"Venta al por menor de aparatos eléctricos de uso doméstico, muebles, equipo de iluminación y otros enseres domésticos en comercios especializados (comercio al por menor de instrumentos musicales en comercios especializados)"
4761,"Venta al por menor de libros, periódicos y artículos de papelería en comercios especializados (comercio al por menor de artículos de papelería en comercios especializados)"
4799,"Otras actividades de venta al por menor no realizadas en comercios, puestos de venta o mercados (comercio al por menor de mascotas en puestos de venta o mercados)"
4742,Venta al por menor de equipo de sonido y de video en comercios especializados 
4741,"Venta al por menor de ordenadores (computadoras), equipo periférico, programas de informática y equipo de telecomunicaciones en comercios especializados (comercio al por menor de computadoras y sus accesorios en comercios especializados)"
4753,"Venta al por menor de tapices, alfombras y cubrimientos para paredes y pisos en comercios especializados "
4774,Venta al por menor de artículos de segunda mano 
4752,"Venta al por menor de artículos de ferretería, pinturas y productos de vidrio en comercios especializados (comercio al por menor en ferreterías y tlapalerías)"
4540,"Venta, mantenimiento y reparación de motocicletas y sus partes, piezas y accesorios (comercio al por menor de motocicletas)"
4730,Venta al por menor de combustibles para vehículos automotores en comercios especializados (comercio al por menor de gasolina y diésel)
4791,Venta al por menor por correo y por Internet 
5110,Transporte de pasajeros por vía aérea (transporte aéreo de pasajeros con horario regular en líneas aéreas nacionales)
5120,Transporte de carga por vía aérea (transporte aéreo de carga con horario regular en líneas aéreas nacionales)
4911,Transporte interurbano de pasajeros por ferrocarril (transporte de pasajeros por ferrocarril)
4912,Transporte de carga por ferrocarril 
5011,Transporte de pasajeros marítimo y de cabotaje (transporte marítimo de altura de pasajeros)
5012,Transporte de carga marítimo y de cabotaje (transporte marítimo de altura de carga)
5021,Transporte de pasajeros por vías de navegación interiores (transporte de pasajeros por aguas interiores)
5022,Transporte de carga por vías de navegación interiores 
4923,Transporte de carga por carretera (autotransporte local de productos agrícolas sin refrigeración)
4921,Transporte urbano y suburbano de pasajeros por vía terrestre (transporte colectivo urbano y suburbano de pasajeros en autobuses de ruta fija)
4922,Otras actividades de transporte por vía terrestre (transporte colectivo foráneo de pasajeros de ruta fija)
5223,Actividades de servicios vinculadas al transporte aéreo (servicios a la navegación aérea)
5224,Manipulación de la carga (servicio de carga y descarga de mercancías y equipaje para el transporte aéreo)
5221,Actividades de servicios vinculadas al transporte terrestre (administración de estaciones y terminales de ferrocarril y derechos de paso de vías)
5222,Actividades de servicios vinculadas al transporte acuático (administración de puertos y muelles)
5229,Otras actividades de apoyo al transporte (servicios de inspección y pesaje de carga para el transporte por agua)
5310,Actividades postales 
5320,Actividades de mensajería (servicios de mensajería y paquetería foránea)
5210,Almacenamiento y depósito (almacenes generales de depósito)
5813,"Edición de periódicos, revistas y otras publicaciones periódicas (edición de periódicos)"
5811,Edición de libros (edición de libros)
5812,Edición de directorios y listas de correo (edición de directorios y de listas de correo)
5819,"Otras actividades de edición (edición de catálogos, agendas, programas de espectáculos, calendarios, tarjetas postales, y otros materiales impresos n.c.p.*)"
5820,Edición de programas informáticos (edición de software y edición de software integrada con la reproducción)
5911,"Actividades de producción de películas cinematográficas, videos y programas de televisión (producción de películas)"
5913,"Actividades de distribución de películas cinematográficas, videos y programas de televisión "
5914,Actividades de exhibición de películas cinematográficas y cintas de video 
5912,"Actividades de postproducción de películas cinematográficas, videos y programas de televisión (servicios de doblaje, titulaje, subtitulaje, efectos visuales, animación, edición, conversión de formato, copiado de videos, y a otros servicios para la industria fílmica y del video)"
5920,Actividades de grabación de sonido y edición de música (editoras de música)
6010,"Transmisiones de radio (transmisión de programas de radio, excepto por internet)"
6120,Actividades de telecomunicaciones inalámbricas (transmisión de programas de radio satelital)
6020,Programación y transmisiones de televisión (transmisión de programas de televisión)
6110,Actividades de telecomunicaciones alámbricas 
6130,Actividades de telecomunicaciones por satélite (operadores de televisión por satélite)
6190,Otras actividades de telecomunicaciones (reventa de servicios de telecomunicaciones por satélite)
6311,"Procesamiento de datos, hospedaje y actividades conexas "
7420,Actividades de fotografía (servicio de microfilmación y escaneo óptico)
6391,Actividades de agencias de noticias 
9101,Actividades de librerías y archivos (bibliotecas y archivos del sector privado)
6312,Portales web 
6399,Otras actividades de servicios de información n.c.p. (servicios de información por teléfono mediante mensajes pregrabados y servicios de búsqueda de información)
6411,Banca central 
6419,Otros tipos de intermediación monetaria (banca múltiple)
6492,Otras actividades de concesión de crédito (banca de desarrollo)
6430,Fondos y sociedades de inversión y entidades financieras similares 
6499,"Otras actividades de servicios financieros, excepto las de seguros y fondos de pensiones, n.c.p. (factoraje financiero)"
6619,Otras actividades auxiliares de las actividades de servicios financieros (servicios relacionados con la intermediación crediticia no bursátil)
6611,Administración de mercados financieros (casas de bolsa)
6612,Corretaje de valores y de contratos de productos básicos (casas de cambio)
6511,Seguros de vida 
6520,Reaseguros 
6512,Seguros generales (fondos de aseguramiento campesino)
6621,Evaluación de riesgos y daños 
6622,Actividades de agentes y corredores de seguros 
6530,Fondos de pensiones 
6629,Otras actividades auxiliares de las actividades de seguros y fondos de pensiones (servicios relacionados con fondos de pensiones)
6630,Actividades de gestión de fondos 
6810,Actividades inmobiliarias realizadas con bienes propios o arrendados (alquiler sin intermediación de viviendas amuebladas)
6820,Actividades inmobiliarias realizadas a cambio de una retribución o por contrato (inmobiliarias y corredores de bienes raíces)
7710,Alquiler y arrendamiento de vehículos automotores (alquiler de automóviles sin chofer)
6491,Arrendamiento financiero (alquiler de camiones de carga combinado con arrendamiento financiero)
7730,"Alquiler y arrendamiento de otros tipos de maquinaria, equipo y bienes tangibles (alquiler de casas rodantes)"
7729,Alquiler y arrendamiento de otros efectos personales y enseres domésticos (alquiler de aparatos eléctricos y electrónicos para el hogar y personales)
7721,Alquiler y arrendamiento de equipo recreativo y deportivo 
7722,Alquiler de cintas de video y discos 
7740,"Arrendamiento de propiedad intelectual y productos similares, excepto obras protegidas por derechos de autor "
6910,Actividades jurídicas (bufetes jurídicos)
6920,"Actividades de contabilidad, teneduría de libros y auditoría; consultoría fiscal (servicios de contabilidad y auditoría)"
7120,Ensayos y análisis técnicos (laboratorios de pruebas)
7410,Actividades especializadas de diseño (diseño y decoración de interiores)
6201,Programación informática 
6202,Consultoría de informática y gestión de instalaciones informáticas 
6209,Otras actividades de tecnología de la información y de servicios informáticos 
7020,"Actividades de consultoría de gestión (consultoría en administración estratégica, financiera, de recursos humanos, y de operaciones)"
7490,"Otras actividades profesionales, científicas y técnicas n.c.p. (servicios de consultoría en medio ambiente)"
7210,"Investigaciones y desarrollo experimental en el campo de las ciencias naturales y la ingeniería (servicios de investigación científica y desarrollo en ciencias naturales y exactas, ingeniería, y ciencias de la vida, prestados por el sector privado)"
7220,"Investigaciones y desarrollo experimental en el campo de las ciencias sociales y las humanidades (servicios de investigación científica y desarrollo en ciencias sociales y humanidades, prestados por el sector privado)"
7310,Publicidad (agencias de publicidad)
7320,Estudios de mercado y encuestas de opinión pública 
7500,Actividades veterinarias (servicios veterinarios para mascotas prestados por el sector privado)
8030,Actividades de investigación (servicios de grafología)
7010,Actividades de oficinas principales 
6420,Actividades de sociedades de cartera 
8211,Actividades combinadas de servicios administrativos de oficina 
8110,Actividades combinadas de apoyo a instalaciones 
7810,Actividades de agencias de empleo 
7820,Actividades de agencias de empleo temporal 
7830,Otras actividades de dotación de recursos humanos 
8220,Actividades de centros de llamadas (servicios de casetas telefónicas)
8291,Actividades de agencias de cobro y agencias de calificación crediticia (agencias de cobranza)
8299,"Otras actividades de servicios de apoyo a las empresas n.c.p. (servicios de estenografía realizados en tribunales, transcripción simultánea de diálogos para televisión y en reuniones y conferencias, y otros servicios de apoyo secretarial y similares n.c.p.*)"
7911,Actividades de agencias de viajes 
7912,Actividades de operadores turísticos 
7990,"Otros servicios de reservas y actividades conexas (servicios de reservación en hoteles, restaurantes, líneas de transporte y espectáculos)"
8010,Actividades de seguridad privada 
8020,Actividades de servicios de sistemas de seguridad 
8121,Limpieza general de edificios 
8130,Actividades de paisajismo y servicios de mantenimiento conexos 
9601,"Lavado y limpieza, incluida la limpieza en seco, de productos textiles y de piel (servicios de limpieza de tapicería, alfombras y muebles)"
8230,Organización de convenciones y exposiciones comerciales 
8423,Actividades de mantenimiento del orden público y de seguridad (servicios particulares de extinción de incendios)
3812,Recolección de desechos peligrosos (servicios de recolección de residuos peligrosos por el sector privado)
3811,Recolección de desechos no peligrosos (recolección de residuos no peligrosos por el sector privado)
3822,Tratamiento y eliminación de desechos peligrosos (tratamiento y disposición final de residuos peligrosos por el sector privado)
3821,Tratamiento y eliminación de desechos no peligrosos (tratamiento y disposición final de residuos no peligrosos por el sector privado)
3900,Actividades de remediación y otros servicios de gestión de desechos (servicios de remediación de residuos por el sector privado)
3830,Recuperación de materiales (recuperación de residuos por el sector privado)
8510,Enseñanza preescolar y primaria (escuelas de educación preescolar del sector privado)
8521,Enseñanza secundaria de formación general (escuelas de educación secundaria general del sector privado)
